Nom du produit,Catégorie,Prix normal (TND),Réduction,Prix final (TND),Description,URL,content
Logiciel Commercial Service Auto,Nos logiciels,999.0,-55%,449.55,"Logiciel dédié aux garages et ateliers automobiles en Tunisie : suivi des interventions, gestion des ventes et stocks, facturation et statistiques. Licence à vie incluse.",https://idsoft.tn/nos-logiciels/36-logiciel-commercial-service-auto.html,"Product: Logiciel Commercial Service Auto
Category: Nos logiciels
Price: 449.55
Description: Logiciel dédié aux garages et ateliers automobiles en Tunisie : suivi des interventions, gestion des ventes et stocks, facturation et statistiques. Licence à vie incluse."
Logiciel Commerciale Phoenix,Nos logiciels,999.0,-55%,449.55,"Logiciel commercial complet : vente (devis/BL/facture), achat, gestion de stock multi-dépôt, caisse TPV et rapports statistiques. Multi-utilisateur avec formation en ligne 10h incluse.",https://idsoft.tn/nos-logiciels/23-logiciel-commerciale-phoenix.html,"Product: Logiciel Commerciale Phoenix
Category: Nos logiciels
Price: 449.55
Description: Logiciel commercial complet : vente (devis/BL/facture), achat, gestion de stock multi-dépôt, caisse TPV et rapports statistiques. Multi-utilisateur avec formation en ligne 10h incluse."
Phoenix calcul Dimension Largeur * Langueur,Nos logiciels,999.0,-55%,449.55,Module de calcul automatique de surface (largeur × longueur) intégré au logiciel Phoenix. Simplifie la gestion commerciale pour les métiers qui vendent au m².,https://idsoft.tn/nos-logiciels/44-phoenix-calcul-dimension-largeur-langueur.html,"Product: Phoenix calcul Dimension Largeur * Langueur
Category: Nos logiciels
Price: 449.55
Description: Module de calcul automatique de surface (largeur × longueur) intégré au logiciel Phoenix. Simplifie la gestion commerciale pour les métiers qui vendent au m²."
PACK CAISSE TACTILE CAFE,Packs Caisse Tactile,,,2050.0,Pack complet pour café/restaurant : caisse tactile + imprimante intégrée + tiroir-caisse + logiciel de gestion commerciale Phoenix. Domaine : Café / Resto.,https://idsoft.tn/packs-caisse-tactile/24-pack-caisse-tactile-cafe.html,"Product: PACK CAISSE TACTILE CAFE
Category: Packs Caisse Tactile
Price: 2050.0
Description: Pack complet pour café/restaurant : caisse tactile + imprimante intégrée + tiroir-caisse + logiciel de gestion commerciale Phoenix. Domaine : Café / Resto."
PACK CAISSE TACTILE CAFE AVANCEE,Packs Caisse Tactile,,,2350.0,"Pack avancé pour café/restaurant avec caisse tactile haute performance, imprimante, tiroir-caisse et logiciel Phoenix. Idéal pour les établissements à fort volume.",https://idsoft.tn/packs-caisse-tactile/38-pack-caisse-tactile-cafe-avancee.html,"Product: PACK CAISSE TACTILE CAFE AVANCEE
Category: Packs Caisse Tactile
Price: 2350.0
Description: Pack avancé pour café/restaurant avec caisse tactile haute performance, imprimante, tiroir-caisse et logiciel Phoenix. Idéal pour les établissements à fort volume."
PACK CAISSE TACTILE FREESHOP/MINI MAGASIN,Packs Caisse Tactile,,,2230.0,"Pack caisse tactile adapté aux freeshops et mini-magasins : caisse tactile, imprimante, douchette/scanner, tiroir-caisse et logiciel de gestion.",https://idsoft.tn/packs-caisse-tactile/39-pack-caisse-tactile-freeshop-mini-magasin.html,"Product: PACK CAISSE TACTILE FREESHOP/MINI MAGASIN
Category: Packs Caisse Tactile
Price: 2230.0
Description: Pack caisse tactile adapté aux freeshops et mini-magasins : caisse tactile, imprimante, douchette/scanner, tiroir-caisse et logiciel de gestion."
Pack épicerie avec balance DIGIPOS + DOUCHETTE,Packs Caisse Tactile,,,4350.0,Pack complet pour épicerie : caisse tactile + balance réseau DIGIPOS + douchette 2D + imprimante + tiroir + logiciel. Idéal pour les grandes surfaces alimentaires.,https://idsoft.tn/packs-caisse-tactile/45-pack-epicerie-avec-balance-digipos.html,"Product: Pack épicerie avec balance DIGIPOS + DOUCHETTE
Category: Packs Caisse Tactile
Price: 4350.0
Description: Pack complet pour épicerie : caisse tactile + balance réseau DIGIPOS + douchette 2D + imprimante + tiroir + logiciel. Idéal pour les grandes surfaces alimentaires."
Pack Caisse Tactile,Packs Caisse Tactile,,,1900.0,Pack caisse tactile d'entrée de gamme : caisse tactile + imprimante + tiroir-caisse + logiciel de gestion commerciale. Solution économique pour tout type de commerce.,https://idsoft.tn/packs-caisse-tactile/48-pack-caisse-tactile-.html,"Product: Pack Caisse Tactile
Category: Packs Caisse Tactile
Price: 1900.0
Description: Pack caisse tactile d'entrée de gamme : caisse tactile + imprimante + tiroir-caisse + logiciel de gestion commerciale. Solution économique pour tout type de commerce."
Pack épicerie avec balance DIGIPOS + SCANNER CODE BARRE,Packs Caisse Tactile,,,4350.0,Pack complet pour épicerie : caisse tactile + balance réseau DIGIPOS + scanner code barre + imprimante + tiroir + logiciel Phoenix.,https://idsoft.tn/packs-caisse-tactile/49-pack-epicerie-avec-balance-digipos.html,"Product: Pack épicerie avec balance DIGIPOS + SCANNER CODE BARRE
Category: Packs Caisse Tactile
Price: 4350.0
Description: Pack complet pour épicerie : caisse tactile + balance réseau DIGIPOS + scanner code barre + imprimante + tiroir + logiciel Phoenix."
PACK CAISSE TACTILE EPICERIE/MAGASIN,Packs Caisse Tactile,,,4750.0,"Pack tout-en-un pour épicerie/magasin incluant caisse tactile, douchette 2D ou scanner code barre au choix, imprimante, tiroir et logiciel de gestion.",https://idsoft.tn/packs-caisse-tactile/51-5-pack-caisse-tactile-epiceriemagasin.html,"Product: PACK CAISSE TACTILE EPICERIE/MAGASIN
Category: Packs Caisse Tactile
Price: 4750.0
Description: Pack tout-en-un pour épicerie/magasin incluant caisse tactile, douchette 2D ou scanner code barre au choix, imprimante, tiroir et logiciel de gestion."
